"genome","array_size","following_spacing_size"
"R_barbata_hap1_chrs",8996,3252576
"R_barbata_hap1_chrs",4287,448424
"R_barbata_hap1_chrs",1218,789492
"R_barbata_hap1_chrs",2011,5156602
"R_barbata_hap1_chrs",267060,9176103
"R_barbata_hap1_chrs",2521,6014784
"R_barbata_hap1_chrs",1446,14076157
"R_barbata_hap1_chrs",1273,13893000
"R_barbata_hap1_chrs",1376,11469755
"R_barbata_hap1_chrs",1626,713317
"R_barbata_hap1_chrs",1286,1588415
"R_barbata_hap1_chrs",2408,1112013
"R_barbata_hap1_chrs",1252,14464247
"R_barbata_hap1_chrs",10883,2221374
"R_barbata_hap1_chrs",56253,714676
"R_barbata_hap1_chrs",21850,2755554
"R_barbata_hap1_chrs",3724,117649
"R_barbata_hap1_chrs",62403,1172331
"R_barbata_hap1_chrs",60185,1965101
"R_barbata_hap1_chrs",70452,753546
"R_barbata_hap1_chrs",18565,624274
"R_barbata_hap1_chrs",59301,1174154
"R_barbata_hap1_chrs",76624,1691840
"R_barbata_hap1_chrs",75330,232626
"R_barbata_hap1_chrs",1988,830529
"R_barbata_hap1_chrs",40916,2070380
"R_barbata_hap1_chrs",18439,2044376
"R_barbata_hap1_chrs",236760,785784
"R_barbata_hap1_chrs",1581,1004005
"R_barbata_hap1_chrs",24470,880335
"R_barbata_hap1_chrs",115292,1167889
"R_barbata_hap1_chrs",30221,3234508
"R_barbata_hap1_chrs",2327,1004309
"R_barbata_hap1_chrs",96581,1500464
"R_barbata_hap1_chrs",112894,6538116
"R_barbata_hap1_chrs",5300,NA
"R_barbata_hap1_chrs",74563,2214447
"R_barbata_hap1_chrs",127672,1515571
"R_barbata_hap1_chrs",111387,1262833
"R_barbata_hap1_chrs",128694,1402654
"R_barbata_hap1_chrs",44565,1771316
"R_barbata_hap1_chrs",70546,569948
"R_barbata_hap1_chrs",24348,1010040
"R_barbata_hap1_chrs",46964,215258
"R_barbata_hap1_chrs",107707,1298376
"R_barbata_hap1_chrs",27935,1124353
"R_barbata_hap1_chrs",178195,473557
"R_barbata_hap1_chrs",2926,753264
"R_barbata_hap1_chrs",82775,1852336
"R_barbata_hap1_chrs",14016,590490
"R_barbata_hap1_chrs",1934,3020047
"R_barbata_hap1_chrs",1579,15700412
"R_barbata_hap1_chrs",8018,8673678
"R_barbata_hap1_chrs",26013,272667
"R_barbata_hap1_chrs",713,582559
"R_barbata_hap1_chrs",35173,1960187
"R_barbata_hap1_chrs",8838,1713708
"R_barbata_hap1_chrs",33334,2605818
"R_barbata_hap1_chrs",1598,539021
"R_barbata_hap1_chrs",122949,190532
"R_barbata_hap1_chrs",548,633881
"R_barbata_hap1_chrs",88912,639564
"R_barbata_hap1_chrs",30964,354030
"R_barbata_hap1_chrs",1394,986997
"R_barbata_hap1_chrs",45031,924811
"R_barbata_hap1_chrs",104351,1150770
"R_barbata_hap1_chrs",1926,924230
"R_barbata_hap1_chrs",56047,1268190
"R_barbata_hap1_chrs",77699,2469844
"R_barbata_hap1_chrs",106877,526420
"R_barbata_hap1_chrs",3263,1082445
"R_barbata_hap1_chrs",84501,1098192
"R_barbata_hap1_chrs",29750,464268
"R_barbata_hap1_chrs",103176,543296
"R_barbata_hap1_chrs",1628,673942
"R_barbata_hap1_chrs",45471,673607
"R_barbata_hap1_chrs",29582,1723324
"R_barbata_hap1_chrs",51724,2064758
"R_barbata_hap1_chrs",104073,4477158
"R_barbata_hap1_chrs",9676,4220651
"R_barbata_hap1_chrs",47492,1469218
"R_barbata_hap1_chrs",1682,2408445
"R_barbata_hap1_chrs",10238,2230301
"R_barbata_hap1_chrs",6779,1618997
"R_barbata_hap1_chrs",33209,5661713
"R_barbata_hap1_chrs",2063,1512275
"R_barbata_hap1_chrs",75649,1253377
"R_barbata_hap1_chrs",148417,609878
"R_barbata_hap1_chrs",34969,1479359
"R_barbata_hap1_chrs",35584,831591
"R_barbata_hap1_chrs",32778,NA
"R_barbata_hap1_chrs",92959,1404972
"R_barbata_hap1_chrs",34857,580614
"R_barbata_hap1_chrs",106318,1432576
"R_barbata_hap1_chrs",248381,1352958
"R_barbata_hap1_chrs",35820,514116
"R_barbata_hap1_chrs",3300,520722
"R_barbata_hap1_chrs",31943,436192
"R_barbata_hap1_chrs",2506,1055826
"R_barbata_hap1_chrs",3872,616897
"R_barbata_hap1_chrs",36705,770916
"R_barbata_hap1_chrs",59965,1291300
"R_barbata_hap1_chrs",100512,170197
"R_barbata_hap1_chrs",712,2267620
"R_barbata_hap1_chrs",2247,5937212
"R_barbata_hap1_chrs",25966,1799006
"R_barbata_hap1_chrs",1830,6780110
"R_barbata_hap1_chrs",65472,4128681
"R_barbata_hap1_chrs",1803,2169639
"R_barbata_hap1_chrs",25819,1233349
"R_barbata_hap1_chrs",2633,68008
"R_barbata_hap1_chrs",1685,693656
"R_barbata_hap1_chrs",82284,1224074
"R_barbata_hap1_chrs",97185,1268136
"R_barbata_hap1_chrs",50021,1955028
"R_barbata_hap1_chrs",32787,1381348
"R_barbata_hap1_chrs",75413,1971560
"R_barbata_hap1_chrs",29974,876286
"R_barbata_hap1_chrs",2046,159923
"R_barbata_hap1_chrs",68109,1144540
"R_barbata_hap1_chrs",95154,833529
"R_barbata_hap1_chrs",142371,1663756
"R_barbata_hap1_chrs",72889,1043784
"R_barbata_hap1_chrs",77956,706527
"R_barbata_hap1_chrs",1253,399399
"R_barbata_hap1_chrs",197757,1666701
"R_barbata_hap1_chrs",43799,1936657
"R_barbata_hap1_chrs",47845,849864
"R_barbata_hap1_chrs",37494,149759
"R_barbata_hap1_chrs",56695,2121684
"R_barbata_hap1_chrs",26298,1667885
"R_barbata_hap1_chrs",43421,1257795
"R_barbata_hap1_chrs",1790,9927224
"R_barbata_hap1_chrs",28654,892577
"R_barbata_hap1_chrs",75206,3816422
"R_barbata_hap1_chrs",10245,275984
"R_barbata_hap1_chrs",6660,5770092
"R_barbata_hap1_chrs",7652,413389
"R_barbata_hap1_chrs",34897,607265
"R_barbata_hap1_chrs",208079,266650
"R_barbata_hap1_chrs",7623,134437
"R_barbata_hap1_chrs",5842,1587385
"R_barbata_hap1_chrs",219019,1441883
"R_barbata_hap1_chrs",76867,432182
"R_barbata_hap1_chrs",31123,858428
"R_barbata_hap1_chrs",153000,1311822
"R_barbata_hap1_chrs",46168,1697705
"R_barbata_hap1_chrs",53497,681723
"R_barbata_hap1_chrs",67080,140892
"R_barbata_hap1_chrs",3724,846675
"R_barbata_hap1_chrs",200606,433817
"R_barbata_hap1_chrs",485,633123
"R_barbata_hap1_chrs",61151,1143747
"R_barbata_hap1_chrs",46877,1072733
